# The late-stage gap sorted by what each row is, before any of it is priced. See backend/pipeline_sort.py
# for the classes and the population. One row per asset, keyed by ticker and the asset's name.
ticker,name,class,of,approved,confidence,evidence,as_of
ABBV,ABBV-142,NEW,,,medium,NCT07230288 Phase 2 recruiting tests oral ABBV-142 in idiopathic pulmonary fibrosis; no book row shares the code and the mechanism is not public (https://clinicaltrials.gov/study/NCT07230288).,2026-09-24
ABBV,ABBV-295,NEW,,,high,"NCT07752979 Phase 2 recruiting tests ABBV-295, the long-acting amylin analog licensed from Gubra as GUB014295 with no book row (https://www.gubra.dk/mfn_news/abbvie-reports-positive-phase-1-multiple-ascending-dose-results-for-abbv-295-a-long-acting-amylin-analog/).",2026-09-24
ABBV,ABBV-932,NEW,,,high,"NCT06846320 Phase 2 recruiting tests ABBV-932, a dopamine D3/D2 modulator for generalized anxiety disorder with no book row or approval (https://clinicaltrials.gov/study/NCT06846320).",2026-09-24
ABBV,AGN-151607-DP,NEW,gemibotulinumtoxinA,,medium,"AdisInsight lists the NCT07226791 hernia trial drug as AGN-151607-DP (USAN gemibotulinumtoxinA), a next-generation toxin with its own USAN distinct from Botox (onabotulinumtoxinA) (https://adisinsight.springer.com/trials/700387677).",2026-09-24
ABBV,Armour Thyroid,LINE_EXTENSION,"Armour Thyroid (thyroid tablets USP, desiccated porcine thyroid)",,high,"NCT06345339 Phase 2/3 recruiting compares Armour Thyroid, a product AbbVie already sells without an FDA approval, with synthetic T4 to support a first formal approval.",2026-09-24
ABBV,Budigalimab,NEW,budigalimab (ABBV-181),,high,"NCT05822752 Phase 2 active not recruiting uses budigalimab, AbbVie's own unapproved anti-PD-1 antibody, as the partner to livmoniplimab; no book row or approval holds it.",2026-09-24
ABBV,Emraclidine,NEW,emraclidine (CVL-231),,medium,"EMPOWER-1 and -2 failed in Nov 2024 and AbbVie took a $3.5B impairment, but NCT07145918 Phase 2 and NCT07219030 Phase 1 are recruiting, so an active programme remains (https://news.abbvie.com/2024-11-11-AbbVie-Provides-Update-on-Phase-2-Results-for-Emraclidine-in-Schizophrenia).",2026-09-24
ABBV,Icalcaprant,NEW,icalcaprant (CVL-354),,high,"NCT06696755 and NCT07276997 Phase 2 recruiting test icalcaprant, an unapproved kappa opioid antagonist from Cerevel with no book row.",2026-09-24
ABBV,IMGN151,NEW,opugotamig olatansine,,high,"NCT07024784 Phase 2 recruiting tests IMGN151 (INN opugotamig olatansine), a biparatopic FR-alpha ADC distinct from Elahere and with no book row (https://www.adcreview.com/drugmap/imgn151/).",2026-09-24
ABBV,Livmoniplimab,NEW,livmoniplimab (ABBV-151),,high,"NCT06236438 Phase 2/3 recruiting tests livmoniplimab (ABBV-151), an unapproved anti-GARP/TGF-beta antibody with no book row.",2026-09-24
ABBV,Lubricating Eye Drops,NOT_A_PROGRAMME,,,high,NCT06365853 uses lubricating eye drops as supportive care to mitigate ocular toxicity during mirvetuximab soravtansine treatment.,2026-09-24
ABBV,MEDI0618,NEW,,,medium,"NCT06602479 Phase 2 recruiting, sponsored by AbbVie, tests MEDI0618, an anti-PAR2 antibody that originated at AstraZeneca and has no book row (https://synapse.patsnap.com/drug/30ef7f91d8da41eda8f0e67117cb25ff).",2026-09-24
ABBV,Mirvetuximab soravtansine plus Bevacizumab,REGIMEN,Elahere (mirvetuximab soravtansine) + Avastin (bevacizumab),FDA 2022-11-14; EMA 2024-11-14,high,"NCT05445778 Phase 3 (GLORIOSA) combines two approved molecules: mirvetuximab soravtansine (EMA Elahere 2024-11-14, AbbVie) and bevacizumab (Avastin in book); Elahere itself is absent from the ABBV marketed list; approval date: https://news.abbvie.com/2022-11-14-ImmunoGen-Announces-FDA-Accelerated-Approval-of-ELAHERE-TM-mirvetuximab-soravtansine-gynx-for-the-Treatment-of-Platinum-Resistant-Ovarian-Cancer",2026-09-24
ABBV,Navitoclax,DEAD,navitoclax,,medium,"AbbVie disclosed in its Q1 2024 10-Q that it discontinued the Phase 3 TRANSFORM-2 study (NCT04468984) after TRANSFORM-1 data and regulator feedback, and no myelofibrosis filing followed (https://www.sec.gov/Archives/edgar/data/1551152/000155115224000020/abbv-20240331.htm).",2026-09-24
ABBV,Surabgene Lomparvovec,DUPLICATE,ABBV-RGX-314 / RGX-314 (surabgene lomparvovec),,high,"REGENXBIO states that ABBV-RGX-314 is surabgene lomparvovec, which the book already models as ABBV-RGX-314 / RGX-314 (https://ir.regenxbio.com/news-releases/news-release-details/regenxbio-announces-pivotal-program-surabgene-lomparvovec).",2026-09-24
ABEO,EB-101 Surgical application of RDEB wounds,LINE_EXTENSION,Zevaskyn (prademagene zamikeracel),FDA 2025-04-29,medium,"EB-101 is pz-cel, which FDA approved as Zevaskyn on 2025-04-29, so NCT05725018 (Phase 3b, Active not recruiting) is a study of Abeona's marketed product; Zevaskyn is missing from ABEO's marketed list in the book (https://investors.abeonatherapeutics.com/press-releases/detail/303/u-s-fda-approves-zevaskyn-prademagene-zamikeracel).",2026-09-24
ALLO,cemacabtagene ansegedleucel,NEW,,,high,"NCT06500273 (ALPHA3, Phase 2, Recruiting) passed its interim futility analysis in April 2026 with 58.3% MRD clearance against 16.7% for observation (https://ir.allogene.com/news-releases/news-release-details/allogene-therapeutics-reports-interim-futility-analysis-pivotal).",2026-09-24
ALNY,ALN-4324,NEW,,,high,"Alnylam's 8-K filed 2026-02-12 (0001628280-26-007491) reports a Phase 2 start for ALN-4324, an RNAi therapeutic targeting GRB14 for type 2 diabetes (NCT07465224, recruiting).",2026-09-24
ALNY,ALN-6400,NEW,,,high,"Alnylam's 10-Q filed 2026-07-30 (0001178670-26-000062) describes ALN-6400 as a GalNAc RNAi therapeutic targeting plasminogen for bleeding disorders, in Phase 2 NCT07575308 (recruiting).",2026-09-24
ALNY,ALN-AGT01 RVR,NEW,,,low,"ALN-AGT01 RVR is a REVERSIR oligonucleotide built to reverse zilebesiran's angiotensinogen silencing (PubMed 38690653), tested only in zilebesiran-pretreated patients in NCT07553442, so its value is tied to zilebesiran.",2026-09-24
