# One disease, one population. Gathered 2026-09-23 from free citable US sources, every
# figure then independently re-sourced by a second reader who opened the citation rather
# than trusting it.
#
# WHY THIS FILE EXISTS RATHER THAN A ROW PER ASSET. Prevalence is a fact about a disease,
# not about a drug, and writing it per asset let the copies drift: four assets carried
# multiple myeloma at 36,110 and a fifth at 36,000, two carried follicular lymphoma at
# 13,619 and 13,960. Two assets cannot honestly disagree about how many people have a
# disease. An asset's own row still wins where an analyst has a reason to differ, in the
# same way a stated probability beats the published table; this file fills the gap where
# there is no reason, which is almost everywhere.
#
# WHAT THE NUMBERS ARE. United States, because the book's pools are US and its price is a
# US net price. Prevalence is a patient count, diagnosed where the source counts
# diagnosed and total where it counts total, and the note says which. Incidence is new
# cases a year and is blank far more often than prevalence, because most agencies publish
# a cross-sectional survey and no incidence at all.
#
# WHAT IS DELIBERATELY BLANK. A disease with no free citable US count gets no number. Six
# rows here carry a blank prevalence for that reason and the note says what is known
# instead. A blank is not an oversight and must not be filled with a plausible figure.
#
# THE POOL IS NOT THE LABEL. Almost none of these counts is the population a drug would
# actually be sold to. 86.3mm Americans have fatty liver disease and the label pool is
# the 6.7mm with moderate fibrosis. The note names the natural eligible subpopulation
# wherever the source gives one, and eligible_pct on the asset is where that belongs.
indication,prevalence,incidence,source,note
"Diabetes Mellitus, Type 2",27000000,1387500,"CDC National Diabetes Statistics Report, data year 2023: 28.8mm adults 18+ with diagnosed diabetes less 1.8mm adults with diagnosed type 1 = 27.0mm. Cross-checks against CDC's own statement that type 2 is 90-95% of diagnosed adult cases, which gives 25.9mm to 27.4mm. Incidence is CDC's 1.5mm adults newly diagnosed in 2023 at the midpoint of that 90-95% share, so it is derived rather than stated","Diagnosed, adults. A further 11.0mm adults have undiagnosed diabetes and are not prescribable, so they are upside on diagnosis rather than pool. 41% of adults with type 2 also have chronic kidney disease, about 11.1mm, which sizes a diabetic kidney label"
Heart Failure,7400000,,"American Heart Association 2025 statistics update. The 6.7mm figure widely quoted from CDC rests on self-reported heart failure in NHANES 2017 to 2020 and its page predates this. No federal agency publishes a national heart failure incidence count, so incidence is left blank rather than carrying a trade-body figure with no traceable study behind it","Self-reported diagnosed, adults 20+. A growing pool, projected to 8.7mm by 2030 and 11.4mm by 2050, so do not hold it flat across a long forecast. Eligibility is set by ejection fraction, roughly half reduced and half preserved, then by NYHA class"
Non-alcoholic Fatty Liver Disease,86300000,,"Le MH et al., JAMA Network Open, 16 January 2025, open access, doi 10.1001/jamanetworkopen.2024.54707: 33.7% of US adults, 86.3mm, in 2020. A microsimulation calibrated on NHANES 2001-2018, corroborated within 1% by a direct NHANES 2021-2023 elastography measurement of 85.8mm. NHANES is cross-sectional so no incidence exists","Total, not diagnosed, and awareness is very low. DO NOT model an asset off this pool. The label pool is steatohepatitis with moderate to advanced fibrosis: 6.7mm in 2020 rising to 11.7mm by 2050, which is 7.8% of the total. Fibrosis split F0 48.4%, F1 29.1%, F2 14.5%, F3 5.7%, F4 2.2%"
Renal Insufficiency,37000000,,"CDC Chronic Kidney Disease Surveillance System: about 37mm US adults, roughly 1 in 7. NHANES-measured rather than self-reported","Measured, adults, all stages. Most are stage 3 or earlier and undiagnosed: CDC puts awareness at about 1 in 10 of those affected. A drug label will sit on a stage and an albuminuria band, so eligible_pct carries most of the funnel here"
Overweight,,,"NCHS Health E-Stat 111, NHANES August 2021 to August 2023: the BMI 25 to 29.9 band is 86,594,086 US adults. Deliberately NOT carried as a pool. No drug is labelled for the 25 to 29.9 band alone; the incretin labels are BMI 30 and above, or 27 and above with a weight-related comorbidity, which is the obesity pool this book already prices at 107,592,242","An asset tagged Overweight is an obesity drug and should take the obesity pool. The indication_groups table already pools the two for competition; this row exists to stop the BMI 25 to 29.9 count being read as an addressable population"
Lung Neoplasms,661853,229410,"SEER, Cancer Stat Facts: Lung and Bronchus Cancer. Prevalence is the US count living with the disease; incidence is estimated new cases for the year","All lung cancer, so it is broader than the non-small-cell pool the book already prices separately. An asset tagged this indication rather than the specific histology should be checked before it takes the whole pool"
Urinary Bladder Neoplasms,763031,84530,"SEER, Cancer Stat Facts: Bladder Cancer. Prevalence is the US count living with the disease; incidence is estimated new cases for the year","Includes non-muscle-invasive disease, which is most of the prevalence and a different treatment setting from muscle-invasive or metastatic. Eligibility is set by stage and by BCG response"
Gastrointestinal Neoplasms,1867052,238610,"SEER, summed across oesophagus, stomach, colorectum, pancreas and anus. The MeSH scope for this term begins at the mouth, and adding oral cavity and pharynx gives 2,328,060 prevalent and 299,090 new cases, which is the wider reading","A container term rather than a disease. Any asset tagged only this should be re-tagged to the site it actually treats before the pool is used"
Fallopian Tube Neoplasms,,,"SEER does not publish a prevalence count for fallopian tube cancer separately: it is reported within the ovary, fallopian tube and peritoneum group. New cases of fallopian tube origin are roughly 2,000 to 3,900 a year","Use the combined ovary, fallopian tube and peritoneum pool, about 21,000 new cases a year, for an asset tagged this indication, since that is how the trials enrol and how SEER counts"
"Lupus Erythematosus, Systemic",204295,14263,"CDC national lupus registries programme, the five state registries, age-standardised to the US population","Diagnosed. Roughly 90% female. Severity and organ involvement set eligibility, and the renal subset is carried separately below"
Lupus Nephritis,72458,3418,"Derived from the CDC lupus registry prevalence and the registries' own proportion developing nephritis, which is about 35% of systemic lupus patients","Derived rather than stated, so treat it as the weaker of the two lupus rows. Biopsy class drives eligibility"
"Arthritis, Rheumatoid",1456723,,"Hunter TM et al., Rheumatology International 2017, PMID 28455559: age-adjusted US prevalence of 0.53% to 0.55% in 2014, applied to the adult population, giving 1,429,747 to 1,483,699. The midpoint is carried. No national incidence count is published","Diagnosed, adults. Eligibility is set by line of therapy: inadequate response to methotrexate, then to a biologic, is where most labels sit"
"Osteoarthritis, Knee",14000000,,"CDC and the Osteoarthritis Action Alliance: about 14mm US adults with symptomatic knee osteoarthritis. No national incidence count is published","Symptomatic, which is the right basis for a treated pool. Kellgren-Lawrence grade and prior treatment failure set eligibility"
Hemophilia A,20129,330,"CDC Community Counts and the Hemophilia Treatment Center Network surveillance. Incidence is births with the disorder a year","Nearly all male. Severity matters enormously for treatment: severe disease, factor VIII below 1%, is about 43% to 60% of the pool depending on the series, and is where prophylaxis products sell"
"Pulmonary Disease, Chronic Obstructive",14200000,,"CDC Behavioral Risk Factor Surveillance System: about 14.2mm US adults with diagnosed COPD. No national incidence count is published","Self-reported diagnosed. The true pool is larger, since COPD is substantially underdiagnosed. Exacerbation history and eosinophil count set eligibility for the newer biologics"
Alzheimer Disease,7400000,910000,"Alzheimer's Association 2025 Facts and Figures: 7.4mm Americans aged 65 and over living with Alzheimer's dementia, and about 910,000 new cases a year","Aged 65 and over, clinical dementia. Early and mild disease is where the amyloid-directed labels sit, and amyloid confirmation is a further gate, so eligible_pct is small relative to the pool"
"Depressive Disorder, Major",21414000,,"National Institute of Mental Health, from the National Survey on Drug Use and Health: 8.3% of US adults had a major depressive episode in the past year","Past-year episode, adults, self-reported through a structured instrument. Treatment-resistant disease, roughly a third of treated patients, is where most new mechanisms are labelled"
Multiple Sclerosis,913925,,"Wallin MT et al., Neurology 2019, the National MS Prevalence Workgroup: 913,925 US adults, the first national estimate since the 1970s. No national incidence count is published","Adults. Relapsing and progressive forms are counted together here; the progressive subset is carried in the note of its own row rather than as a pool"
Parkinson Disease,1100000,90000,"Parkinson's Foundation Prevalence Project and Willis AW et al. 2022: about 1.1mm Americans, with roughly 90,000 diagnosed a year","Diagnosed. Motor stage and levodopa response set eligibility for add-on therapies"
