# Product revenue by region, printed in a filer's FY2025 annual report tables but not
# tagged in the SEC data sets, so not read by the product revenue fetcher.
#
# Ten modelled filers tag the split in XBRL and it is fetched. Pfizer, BMS, AbbVie,
# Novartis, Sanofi, Regeneron and the rest print it in their annual report tables
# instead, and these rows are those tables, loaded by regional_loe.load_curated_revenue
# as curated rows that outrank a fetched split. value is in millions of the reporting
# currency as printed, region is US, INTL (all outside the US together), EU, JP, CN, EM
# or ROW, and region_label is the filer's own column heading. Every row has the
# accession and a verbatim quote checked against the filed document.
ticker,brand,fiscal_year,region,region_label,value,unit,accession,quote
ABBV,Skyrizi,2025,US,United States,15202,USD,0001551152-26-000008,"Skyrizi | United States | $ | 15,202 | $ | 10,086 | $ | 6,753 | | International | 2,360"
ABBV,Skyrizi,2025,INTL,International,2360,USD,0001551152-26-000008,"Skyrizi | United States | $ | 15,202 | $ | 10,086 | $ | 6,753 | | International | 2,360"
ABBV,Rinvoq,2025,US,United States,5940,USD,0001551152-26-000008,"Rinvoq | United States | $ | 5,940 | $ | 4,259 | $ | 2,824 | | International | 2,364"
ABBV,Rinvoq,2025,INTL,International,2364,USD,0001551152-26-000008,"Rinvoq | United States | $ | 5,940 | $ | 4,259 | $ | 2,824 | | International | 2,364"
ABBV,Humira,2025,US,United States,3062,USD,0001551152-26-000008,"Humira | United States | $ | 3,062 | $ | 7,142 | $ | 12,160 | | International | 1,478"
ABBV,Humira,2025,INTL,International,1478,USD,0001551152-26-000008,"Humira | United States | $ | 3,062 | $ | 7,142 | $ | 12,160 | | International | 1,478"
ABBV,Vraylar,2025,US,United States,3612,USD,0001551152-26-000008,"Vraylar | United States | $ | 3,612 | $ | 3,260 | $ | 2,755 | | International | 9"
ABBV,Vraylar,2025,INTL,International,9,USD,0001551152-26-000008,"Vraylar | United States | $ | 3,612 | $ | 3,260 | $ | 2,755 | | International | 9"
ABBV,Botox,2025,US,United States,1504,USD,0001551152-26-000008,"Botox Cosmetic | United States | $ | 1,504 | $ | 1,682 | $ | 1,670"
ABBV,Botox,2025,INTL,International,1098,USD,0001551152-26-000008,"Botox Cosmetic | United States | $ | 1,504 | $ | 1,682 | $ | 1,670 | (10.5) | % | 0.7 | % | (10.5) | % | 0.7 | % | International | 1,098"
ABBV,Venclexta,2025,US,United States,1306,USD,0001551152-26-000008,"Venclexta | United States | $ | 1,306 | $ | 1,234 | $ | 1,087 | | International | 1,486"
ABBV,Venclexta,2025,INTL,International,1486,USD,0001551152-26-000008,"Venclexta | United States | $ | 1,306 | $ | 1,234 | $ | 1,087 | | International | 1,486"
ABBV,Ubrelvy,2025,US,United States,1239,USD,0001551152-26-000008,"Ubrelvy | United States | $ | 1,239 | $ | 981 | $ | 803 | | International | 32"
ABBV,Ubrelvy,2025,INTL,International,32,USD,0001551152-26-000008,"Ubrelvy | United States | $ | 1,239 | $ | 981 | $ | 803 | | International | 32"
ABBV,Qulipta,2025,US,United States,906,USD,0001551152-26-000008,Qulipta | United States | $ | 906 | $ | 628 | $ | 405 | | International | 130
ABBV,Qulipta,2025,INTL,International,130,USD,0001551152-26-000008,Qulipta | United States | $ | 906 | $ | 628 | $ | 405 | | International | 130
AZN,Tagrisso,2025,US,US,3064,USD,0001104659-26-019130,"World | US | Emerging Markets | Europe | Established ROW ... 2025 | $m ... Tagrisso | 7,254 | 10 | 10 | 3,064 | 11 | 1,971 | 12 | 14 | 1,423 | 9 | 6 | 796 | 5 | 5"
AZN,Tagrisso,2025,EM,Emerging Markets,1971,USD,0001104659-26-019130,"World | US | Emerging Markets | Europe | Established ROW ... 2025 | $m ... Tagrisso | 7,254 | 10 | 10 | 3,064 | 11 | 1,971 | 12 | 14 | 1,423 | 9 | 6 | 796 | 5 | 5"
