# Members a filer reports as one revenue line covering several brands, where the label
# arrives with no case boundary for _split_camel to work on. "GardasilGardasil9" splits
# itself; "TRIKAFTAKAFTRIO" cannot, and rendered as shouted concatenation in every place
# a product name is shown.
#
# Curated, because splitting these needs to know where one brand ends and the next
# begins, and no rule can. Five across the universe as of 2026-08-28. The separator is a
# slash to keep the fact visible that this is one reported number covering several
# products; nothing here splits the money between them, because the filing does not.
#
# member: matched case-insensitively against the label as filed, ignoring spaces.
member,display,note
TRIKAFTAKAFTRIO,Trikafta / Kaftrio,"Vertex: Trikafta in the US, Kaftrio in the EU, one reported line"
RYBREVANTLAZCLUZE,Rybrevant / Lazcluze,"J&J: reported together as the combination regimen"
INVEGASUSTENNAXEPLIONTRINZATREVICTA,Invega Sustenna / Xeplion / Trinza / Trevicta,"J&J: the long-acting paliperidone family across regions"
PREZISTAPREZCOBIXREZOLSTASYMTUZA,Prezista / Prezcobix / Rezolsta / Symtuza,"J&J: the darunavir HIV family across regions"
MINJUVIMONJUVI,Minjuvi / Monjuvi,"Incyte: tafasitamab, Monjuvi in the US and Minjuvi elsewhere"
GARDASILGARDASIL9,Gardasil / Gardasil 9,"Merck: the quadrivalent and 9-valent HPV vaccines, one reported line"
PROQUADMMRIIVARIVAX,ProQuad / M-M-R II / Varivax,"Merck: the measles, mumps, rubella and varicella vaccines, one reported line"
ISENTRESSISENTRESSHD,Isentress / Isentress HD,"Merck: raltegravir in both strengths, one reported line"
ADEMPASVERQUVO,Adempas / Verquvo,"Merck: alliance revenue on the two Bayer cardiovascular products, one reported line"
PREVNARPREVENARFAMILY,Prevnar / Prevenar family,"Pfizer: Prevnar 20/Prevenar 20 and Prevnar 13/Prevenar 13, one reported line"
NURTECODTVYDURA,Nurtec ODT / Vydura,"Pfizer: rimegepant, Nurtec ODT in the US and Vydura elsewhere"
BRAFTOVIMEKTOVI,Braftovi / Mektovi,"Pfizer: encorafenib and binimetinib, reported together as the combination"
FSMEIMMUNTICOVAC,FSME-IMMUN / TicoVac,Pfizer: the tick-borne encephalitis vaccine under both names
INFLECTRAREMSIMA,Inflectra / Remsima,"Pfizer: infliximab-dyyb, Inflectra in the US and Remsima elsewhere"
